family,cell,n,wins_up,wr_up,p,wilson_lo,wilson_hi,p_side,q_bh
F1_hist6,27,1728,868,0.5023148148148148,0.8662796753342661,0.4787609577683351,0.5258584023394253,0.43313983766713304,0.46284986406767753
F1_hist6,28,1748,900,0.5148741418764302,0.22251841698509,0.49143770023452593,0.5382453487351982,0.111259208492545,0.20980307887165628
F1_hist6,29,1685,860,0.5103857566765578,0.4075173151853837,0.4865203827680637,0.5342038817218682,0.20375865759269185,0.3073844891684037
F1_hist6,30,1686,850,0.5041518386714117,0.7515558081074766,0.4803033943600348,0.5279814058247874,0.3757779040537383,0.44091274075638626
F1_hist6,31,1450,742,0.5117241379310344,0.3861557276404113,0.48599817024279535,0.5373881463958261,0.19307786382020564,0.2998385649913782
F1_hist6,32,1465,749,0.5112627986348123,0.4031360295205099,0.4856693499730941,0.5367973339770337,0.20156801476025496,0.3073844891684037
F1_hist6,33,1624,815,0.5018472906403941,0.9012625094669969,0.47755351659814044,0.5261323457118042,0.45063125473349847,0.46876360296107555
F1_hist6,34,1709,871,0.5096547688706846,0.43889972084351175,0.48595829546575314,0.5333079344062912,0.21944986042175588,0.3240485788063355
F1_hist6,35,1752,899,0.5131278538812786,0.28233017505802005,0.4897196975688512,0.5364785654179695,0.14116508752901002,0.25011800743395063
F1_hist6,36,1682,865,0.514268727705113,0.25178753996254155,0.49037782027215493,0.5380946056070024,0.12589376998127078,0.23080524496566313
F1_hist6,37,1782,918,0.5151515151515151,0.20927948216164208,0.4919393430095443,0.5382985011531182,0.10463974108082104,0.20164154485647265
F1_hist6,38,1717,866,0.5043680838672102,0.7354760673936419,0.4807351127575062,0.5279815523905236,0.36773803369682095,0.43731009412594923
F1_hist6,39,1561,751,0.48110185778347214,0.14207919386972925,0.45639220930826485,0.5059042940566763,0.07103959693486463,0.15636750905715405
F1_hist6,40,1637,830,0.5070250458155162,0.5866277556065665,0.4828178126668637,0.5311993843617832,0.2933138778032833,0.3722829987503211
F1_hist6,41,1681,886,0.5270672218917312,0.02812503804291406,0.5031652618235914,0.5508457502501846,0.01406251902145703,0.04759621822646995
F1_hist6,42,1688,848,0.5023696682464455,0.8647198242571873,0.4785388239528353,0.5261897511099837,0.43235991212859365,0.46284986406767753
F1_hist6,43,1701,844,0.49617871840094063,0.7710940516191158,0.4724533036343975,0.5199213545156618,0.3855470258095579,0.4444734271341628
F1_hist6,44,1703,828,0.48620082207868465,0.2649815912768714,0.4625200877325859,0.5099436722320176,0.1324907956384357,0.2395723975927878
F1_hist6,45,1705,834,0.48914956011730204,0.3832974120239544,0.4654726008775992,0.5128753045104719,0.1916487060119772,0.2998385649913782
F1_hist6,46,1760,820,0.4659090909090909,0.004546848203289662,0.4427031417277603,0.489263538273437,0.002273424101644831,0.010172609539563312
F1_hist6,47,1592,741,0.46545226130653267,0.00628053439454696,0.44106201529879396,0.490008837848536,0.00314026719727348,0.012983832997049045
F1_hist6,48,1564,796,0.5089514066496164,0.49479333889153776,0.48418344290365756,0.5336755040715981,0.24739666944576888,0.3327083681758527
F1_hist6,49,1770,880,0.4971751412429379,0.8306152213570842,0.47391311509627015,0.5204494029549472,0.4153076106785421,0.4586799722274936
F1_hist6,50,1783,908,0.5092540661805945,0.4485591791839564,0.48605441709815783,0.5324139239120359,0.2242795895919782,0.3240485788063355
F1_hist6,51,1617,788,0.4873222016079159,0.3198681432693579,0.4630180834338585,0.5116864157596471,0.15993407163467896,0.2672316133642737
F1_hist6,52,1716,866,0.5046620046620046,0.7172861822762762,0.48102162966696543,0.5282815526726174,0.3586430911381381,0.4284243260654681
F1_hist6,53,1692,836,0.4940898345153664,0.6441617179853085,0.47030726668653344,0.5178991790098098,0.32208085899265426,0.4029826861329892
F1_hist6,54,1662,759,0.4566787003610108,0.0004486497825205227,0.43285774578997077,0.48069946156996063,0.00022432489126026134,0.0014100421736359284
F1_hist6,55,1561,736,0.4714926329276105,0.02589490326601253,0.446829115821007,0.49629611806848056,0.012947451633006264,0.04497535830412702
F1_hist6,56,1676,795,0.4743436754176611,0.037838222797572395,0.4505230963112762,0.49828160051251946,0.018919111398786197,0.059460064396185196
F1_hist6,57,1696,829,0.48879716981132076,0.36895588213011843,0.46505884286056653,0.5125861330007137,0.18447794106505921,0.29162979904895586
F1_hist6,58,1702,793,0.46592244418331374,0.005296158339011699,0.44232647748447906,0.48967189798015964,0.0026480791695058497,0.011460539356549906
F1_hist6,59,1494,718,0.48058902275769744,0.14027099749661837,0.4553361312730818,0.5059414831288681,0.07013549874830918,0.15636750905715405
F1_hist6,60,1624,731,0.4501231527093596,6.381900770888092e-05,0.42607214476267535,0.4744095728688191,3.190950385444046e-05,0.0002340030282658967
F1_hist6,61,1511,718,0.4751819986763733,0.056912793952972746,0.45009666320418684,0.5003932097963961,0.028456396976486373,0.0790788294925516
F1_hist6,62,1449,684,0.4720496894409938,0.03554967476865533,0.44645281226894384,0.4977943788907806,0.017774837384327665,0.05653683216219883
F1_hist6,63,1277,592,0.4635865309318716,0.010011143960561707,0.43638540714089763,0.4910060829543648,0.005005571980280853,0.019151753663683265
F2_streak,0,422,196,0.46445497630331756,0.15795750177233644,0.4174047188182123,0.5121465509497015,0.07897875088616822,0.16680312187158727
F2_streak,1,413,208,0.5036319612590799,0.9216195718037075,0.455599820031844,0.5515971583887359,0.46080978590185373,0.471526292550734
F2_streak,2,860,420,0.4883720930232558,0.5170767404493701,0.45508944765284637,0.5217581595936673,0.25853837022468507,0.34298557657948164
F2_streak,3,1690,879,0.5201183431952663,0.10311790317109068,0.49628029436403365,0.5438651359997029,0.05155895158554534,0.12963393541508542
F2_streak,4,3303,1677,0.5077202543142597,0.38430719557218174,0.49067136119951027,0.5247512099934976,0.19215359778609087,0.2998385649913782
F2_streak,5,6855,3417,0.4984682713347921,0.8091227262594386,0.4866360260429224,0.5103022324525064,0.4045613631297193,0.456898557993048
F2_streak,6,13318,6541,0.49113981078239977,0.041713112877243844,0.4826529898619729,0.4996317417024678,0.020856556438621922,0.06402477790460682
F2_streak,7,26657,13494,0.5062085005814608,0.043257523161456424,0.500206163199526,0.5122090487793787,0.021628761580728212,0.06563210410703733
F2_streak,10,26657,13311,0.4993435120231084,0.8350386473472841,0.4933417063563137,0.5053455068785453,0.41751932367364203,0.4586799722274936
F2_streak,11,13118,6596,0.5028205519134015,0.5238878879989604,0.4942646915234013,0.5113747607924994,0.2619439439994802,0.3440457771933471
F2_streak,12,6224,3073,0.49373393316195374,0.32905796197710446,0.48132061164036355,0.5061549850414788,0.16452898098855223,0.27147281863111117
F2_streak,13,2914,1413,0.48490048043925876,0.10701906604120878,0.4667862039512826,0.5030545166690554,0.05350953302060439,0.13187050059759411
F2_streak,14,1420,687,0.4838028169014085,0.23239746880194265,0.4578887190972679,0.5098043164201661,0.11619873440097132,0.21467235640924262
F2_streak,15,673,340,0.5052005943536404,0.8171160546296798,0.4675042363690335,0.5428379175411281,0.4085580273148399,0.45737076691854056
F2_streak,16,595,301,0.5058823529411764,0.8057259160305673,0.46580036122017854,0.5458888734622483,0.40286295801528366,0.456898557993048
F3_rsi,0,37,14,0.3783783783783784,0.18774155899882317,0.2406378746389103,0.5389985744718004,0.09387077949941158,0.18445766321097426
F3_rsi,1,540,270,0.5,1.0,0.45797672810066214,0.5420232718993379,0.5171597961273713,0.5171597961273713
F3_rsi,2,3571,1911,0.5351442173060768,2.8495893978195837e-05,0.5187562394357752,0.5514566617456367,1.4247946989097918e-05,0.0001253819335040617
F3_rsi,3,15564,8177,0.5253790799280391,2.521214808452005e-10,0.5175285598948404,0.53321707461881,1.2606074042260026e-10,4.754290781652352e-09
F3_rsi,4,66089,33214,0.5025647233276339,0.18858444134050203,0.498752659760427,0.5063764887493566,0.09429222067025102,0.18445766321097426
F3_rsi,5,15397,7178,0.46619471325582906,5.093244777558227e-17,0.45832436156484974,0.4740819297900331,2.5466223887791135e-17,6.7230831063768595e-15
F3_rsi,6,3414,1551,0.45430579964850615,1.0027744878009449e-07,0.43766429076187363,0.471050027654755,5.0138724390047245e-08,1.0182017876132672e-06
F3_rsi,7,492,228,0.4634146341463415,0.11449207788047223,0.41980481477867215,0.5075913536751243,0.05724603894023612,0.13713160105480796
F3_rsi,8,16,10,0.625,0.454498291015625,0.3864064709793481,0.815190174452472,0.2272491455078125,0.3240485788063355
F4_shape,0,7308,3746,0.5125889436234263,0.032292767364304004,0.5011252200154925,0.5240394389125673,0.016146383682152002,0.05269618290046318
F4_shape,1,16217,8100,0.4994758586668311,0.9000158449650085,0.4917813279234848,0.5071706376761298,0.45000792248250426,0.46876360296107555
F4_shape,2,7473,3605,0.4824033186136759,0.00243702874104402,0.4710858004438679,0.4937389191275619,0.00121851437052201,0.006307603800349229
F4_shape,4,8634,4487,0.5196895992587445,0.0002635090921673053,0.5091445792755475,0.5302171057083495,0.00013175454608365265,0.0008695800041521075
F4_shape,5,18331,9140,0.4986089138617642,0.711906715841453,0.4913717513683141,0.5058466592886941,0.3559533579207265,0.42714402950487185
F4_shape,6,8439,4004,0.47446379902832087,2.8436902985071056e-06,0.4638238178408293,0.48512701880639614,1.4218451492535528e-06,1.7062141791042632e-05
F4_shape,8,17810,9180,0.5154407636159462,3.8872631218611204e-05,0.5080983787840179,0.5227764887684141,1.9436315609305602e-05,0.00015549052487444481
F4_shape,9,3334,1724,0.5170965806838632,0.05032863747143296,0.500124180448366,0.5340296272098524,0.02516431873571648,0.07180676104511577
F4_shape,10,17574,8567,0.4874815067713668,0.0009273409033804842,0.480094876787096,0.4948736085359256,0.0004636704516902421,0.0026610652010048675
F5_vol,0,17927,8993,0.5016455625592682,0.6648810024750111,0.4943266879302184,0.5089637320799612,0.33244050123750557,0.41011351554533393
F5_vol,1,38537,19391,0.5031787632664712,0.21388865545667682,0.49818665186762984,0.5081702409719908,0.10694432772833841,0.20458914869769088
F5_vol,2,31085,15412,0.4958018336818401,0.14029723515891046,0.49024448098189555,0.5013602239036028,0.07014861757945523,0.15636750905715405
F5_vol,3,17571,8757,0.4983780092197371,0.6726875160421344,0.49098608933111687,0.5057706381946664,0.3363437580210672,0.4129988470584267
F6_hour,0,4380,2137,0.48789954337899544,0.11260547813139299,0.47311321970156034,0.5027070745353481,0.056302739065696494,0.13636626709489794
F6_hour,1,4380,2134,0.4872146118721461,0.0934912616662779,0.47242939269821665,0.502022238948328,0.04674563083313895,0.12340846539948683
F6_hour,2,4380,2196,0.5013698630136987,0.8679945682943009,0.4865674594076368,0.5161698657730907,0.43399728414715044,0.46284986406767753
F6_hour,3,4380,2192,0.5004566210045662,0.963845088120381,0.4856549683462466,0.5152574733806624,0.4819225440601905,0.4856013421064515
F6_hour,4,4380,2152,0.491324200913242,0.257108376474994,0.4765327712916178,0.5061308358971089,0.128554188237497,0.234057280653098
F6_hour,5,4380,2177,0.49703196347031964,0.7056218817589033,0.482233566253017,0.5118355625220736,0.35281094087945164,0.42714402950487185
F6_hour,6,4380,2167,0.49474885844748856,0.4965420343230528,0.47995301696767595,0.5095539031728692,0.2482710171615264,0.3327083681758527
F6_hour,7,4380,2224,0.5077625570776255,0.3113626434616478,0.49295627830644323,0.5225552310510115,0.1556813217308239,0.263460698313702
F6_hour,8,4380,2165,0.4942922374429224,0.459068819975642,0.4794969441162519,0.5090975342973841,0.229534409987821,0.3240485788063355
F6_hour,9,4380,2193,0.5006849315068493,0.9397784647008408,0.48588308648647577,0.515485576103888,0.4698892323504204,0.47896045305216595
F6_hour,10,4380,2234,0.5100456621004567,0.18864988282940548,0.495238585342877,0.5248351326491235,0.09432494141470274,0.18445766321097426
F6_hour,11,4380,2183,0.49840182648401826,0.8442769679437986,0.48360204383736194,0.5132044101184561,0.4221384839718993,0.4586799722274936
F6_hour,12,4380,2183,0.49840182648401826,0.8442769679437986,0.48360204383736194,0.5132044101184561,0.4221384839718993,0.4586799722274936
F6_hour,13,4380,2214,0.5054794520547945,0.4776044181246616,0.49067427972289634,0.520275021000013,0.2388022090623308,0.33007216331128447
F6_hour,14,4380,2205,0.5034246575342466,0.6612545530688612,0.48862074467831434,0.5182225682735041,0.3306272765344306,0.4097915540145055
F6_hour,15,4380,2207,0.5038812785388128,0.6180463207610339,0.48907706421316666,0.5186786904655608,0.30902316038051697,0.3884862587640785
F6_hour,16,4380,2153,0.49155251141552514,0.27001384126661154,0.4767607660789529,0.5063590619732284,0.13500692063330577,0.24246140848430422
F6_hour,17,4380,2215,0.5057077625570776,0.459068819975642,0.49090246570261575,0.520503055883748,0.229534409987821,0.3240485788063355
F6_hour,18,4380,2224,0.5077625570776255,0.3113626434616478,0.49295627830644323,0.5225552310510115,0.1556813217308239,0.263460698313702
F6_hour,19,4380,2183,0.49840182648401826,0.8442769679437986,0.48360204383736194,0.5132044101184561,0.4221384839718993,0.4586799722274936
F6_hour,20,4380,2242,0.5118721461187214,0.11962092713808645,0.49706465310799797,0.5266588317916389,0.059810463569043223,0.1397341803736939
F6_hour,21,4380,2218,0.506392694063927,0.40594979263345565,0.49158704214597915,0.5211871420307483,0.20297489631672783,0.3073844891684037
F6_hour,22,4380,2179,0.49748858447488586,0.7510133533460662,0.4826897131137866,0.5122918573882133,0.3755066766730331,0.44091274075638626
F6_hour,23,4380,2176,0.4968036529680365,0.6833015000120775,0.48200549744796267,0.5116074104636735,0.34165075000603873,0.41757313889626957
F7_band,0,8695,4612,0.5304197814836112,1.4782448110200252e-08,0.5199184007957183,0.5408942940808041,7.391224055100126e-09,1.7738937732240302e-07
F7_band,1,21687,11213,0.5170378567805598,5.391305739220612e-07,0.5103846251013554,0.5236850534121792,2.695652869610306e-07,4.744349050514139e-06
F7_band,2,42596,21344,0.5010799136069114,0.6592734867130203,0.49633170295333084,0.5058279294899971,0.32963674335651016,0.4097915540145055
F7_band,3,23011,11142,0.48420320716179216,1.6985216409331703e-06,0.47774922341674103,0.4906624644568787,8.492608204665852e-07,1.1210242830158924e-05
F7_band,4,9131,4242,0.46457124082794876,1.349972587453806e-11,0.4543583212674444,0.47481395907072815,6.74986293726903e-12,8.909819077195119e-10
